Lentil GH logger
                    	Temperature (*C)	Temperature (*C)	Temperature (*C)	RH (%)	Dew Point (*C)
                    	*C	*C	*C	%	*C
Date and Time   	TMPD	TMPA	TMP	HMD	DEW
2020-10-10 15:00		21.4	22.3	95.7	21.6
2020-10-10 15:30		22.3	22.9	96.2	22.3
2020-10-10 16:00		22.2	23.5	95.6	22.8
2020-10-10 16:30		23.0	23.6	92.9	22.4
2020-10-10 17:00		23.0	24.0	82.2	20.8
2020-10-10 17:30		22.8	24.4	75.6	19.8
2020-10-10 18:00		22.5	24.8	66.7	18.2
2020-10-10 18:30		21.8	24.7	64.5	17.6
2020-10-10 19:00		21.5	24.4	65.7	17.6
2020-10-10 19:30		21.2	24.0	65.5	17.1
2020-10-10 20:00		21.0	23.8	66.3	17.1
2020-10-10 20:30		20.6	23.5	65.7	16.7
2020-10-10 21:00		20.5	23.2	65.0	16.3
2020-10-10 21:30		20.2	23.2	63.6	15.9
2020-10-10 22:00		20.0	23.0	63.5	15.7
2020-10-10 22:30		19.2	22.6	62.3	15.0
2020-10-10 23:00		21.0	22.5	58.2	13.9
2020-10-10 23:30		19.0	21.9	59.1	13.5
2020-10-11 00:00		21.6	22.0	58.0	13.4
2020-10-11 00:30		19.5	22.1	57.1	13.2
2020-10-11 01:00		20.7	21.5	60.5	13.5
2020-10-11 01:30		20.1	22.5	57.9	13.8
2020-10-11 02:00		19.0	21.5	59.4	13.3
2020-10-11 02:30		19.1	21.4	59.7	13.2
2020-10-11 03:00		20.9	22.0	56.7	13.0
2020-10-11 03:30		18.7	21.6	57.6	12.9
2020-10-11 04:00		19.9	22.0	55.9	12.8
2020-10-11 04:30		20.4	21.5	58.5	13.0
2020-10-11 05:00		19.5	22.0	56.0	12.8
2020-10-11 05:30		21.1	21.9	56.5	12.9
2020-10-11 06:00		19.2	22.0	56.0	12.8
2020-10-11 06:30		20.4	22.4	93.4	21.3
2020-10-11 07:00		19.5	21.5	94.7	20.6
2020-10-11 07:30		19.7	21.4	96.2	20.8
2020-10-11 08:00		20.0	21.6	97.0	21.1
2020-10-11 08:30		19.7	21.3	97.1	20.8
2020-10-11 09:00		20.7	21.4	97.7	21.0
2020-10-11 09:30		20.7	22.1	98.4	21.8
2020-10-11 10:00		19.7	21.9	97.7	21.5
2020-10-11 10:30		19.5	21.7	98.1	21.4
2020-10-11 11:00		19.7	21.7	98.6	21.5
2020-10-11 11:30		20.6	22.0	93.9	21.0
2020-10-11 12:00		20.7	21.7	94.6	20.8
2020-10-11 12:30		19.8	22.0	97.0	21.5
2020-10-11 13:00		19.7	21.7	95.7	21.0
2020-10-11 13:30		19.9	21.9	96.9	21.4
2020-10-11 14:00		19.9	22.3	96.1	21.6
2020-10-11 14:30		19.4	21.9	95.5	21.1
2020-10-11 15:00		18.8	21.2	94.1	20.2
2020-10-11 15:30		18.8	20.9	90.4	19.3
2020-10-11 16:00		19.0	21.3	88.0	19.2
2020-10-11 16:30		19.7	21.3	84.5	18.6
2020-10-11 17:00		20.6	22.5	81.7	19.2
2020-10-11 17:30		21.0	23.4	77.0	19.1
2020-10-11 18:00		20.6	23.8	70.4	18.1
2020-10-11 18:30		20.8	23.8	68.8	17.7
2020-10-11 19:00		21.0	23.9	67.8	17.6
2020-10-11 19:30		20.4	23.8	66.2	17.1
2020-10-11 20:00		20.4	23.7	65.7	16.9
2020-10-11 20:30		20.9	23.8	66.2	17.1
2020-10-11 21:00		20.7	23.8	63.7	16.5
2020-10-11 21:30		20.8	23.9	63.8	16.6
2020-10-11 22:00		19.9	23.7	56.9	14.6
2020-10-11 22:30		19.3	22.8	57.6	14.0
2020-10-11 23:00		18.5	21.5	65.7	14.8
2020-10-11 23:30		19.3	21.6	62.1	14.0
2020-10-12 00:00		19.5	21.0	64.6	14.1
2020-10-12 00:30		20.9	22.5	62.2	14.9
2020-10-12 01:00		19.8	22.1	65.1	15.2
2020-10-12 01:30		19.3	21.5	67.0	15.1
2020-10-12 02:00		21.3	22.1	65.1	15.2
2020-10-12 02:30		20.1	22.5	60.2	14.4
2020-10-12 03:00		19.3	21.7	61.6	14.0
2020-10-12 03:30		20.3	21.7	62.6	14.2
2020-10-12 04:00		19.3	21.5	62.1	13.9
2020-10-12 04:30		21.5	21.5	62.3	14.0
2020-10-12 05:00		20.0	22.6	57.1	13.7
2020-10-12 05:30		18.7	21.6	58.0	13.0
2020-10-12 06:00		20.2	21.9	58.1	13.3
2020-10-12 06:30		20.5	22.4	93.5	21.3
2020-10-12 07:00		20.2	21.7	94.7	20.8
2020-10-12 07:30		19.9	21.6	96.2	21.0
2020-10-12 08:00		20.1	22.0	97.2	21.5
2020-10-12 08:30		20.8	22.1	97.9	21.8
2020-10-12 09:00		20.7	22.6	98.2	22.3
2020-10-12 09:30		20.3	23.1	98.6	22.9
2020-10-12 10:00		20.7	23.4	99.2	23.3
2020-10-12 10:30		20.5	22.9	98.6	22.7
2020-10-12 11:00		22.2	22.8	97.9	22.5
2020-10-12 11:30		20.8	21.2	87.6	19.1
2020-10-12 12:00		20.0	21.5	90.6	19.9
2020-10-12 12:30		20.1	23.7	80.8	20.2
2020-10-12 13:00		20.6	24.3	69.3	18.3
2020-10-12 13:30		20.6	25.2	60.2	16.9
2020-10-12 14:00		21.4	24.2	48.5	12.7
2020-10-12 14:30		20.9	24.8	53.5	14.7
2020-10-12 15:00		21.9	25.2	53.3	15.0
2020-10-12 15:30		22.0	24.8	39.9	10.2
2020-10-12 16:00		21.7	24.4	38.8	9.5
2020-10-12 16:30		22.8	24.4	49.0	13.0
2020-10-12 17:00		23.2	25.0	48.3	13.3
2020-10-12 17:30		22.9	25.4	48.8	13.8
2020-10-12 18:00		22.5	25.3	49.8	14.1
2020-10-12 18:30		21.8	24.9	51.3	14.2
2020-10-12 19:00		21.0	24.2	54.6	14.5
2020-10-12 19:30		20.6	23.6	55.7	14.2
2020-10-12 20:00		21.1	23.5	54.9	13.9
2020-10-12 20:30		21.2	23.8	55.9	14.5
2020-10-12 21:00		20.9	23.8	56.1	14.5
2020-10-12 21:30		20.6	23.7	58.4	15.1
2020-10-12 22:00		20.3	23.4	58.1	14.7
2020-10-12 22:30		19.5	22.9	57.2	14.0
2020-10-12 23:00		21.2	22.6	55.2	13.2
2020-10-12 23:30		19.1	21.9	59.0	13.5
2020-10-13 00:00		21.2	22.4	54.5	12.8
2020-10-13 00:30		19.3	21.9	56.1	12.8
2020-10-13 01:00		21.3	22.0	56.4	12.9
2020-10-13 01:30		19.4	21.9	56.0	12.7
2020-10-13 02:00		21.3	21.9	57.2	13.0
2020-10-13 02:30		19.5	21.9	56.6	12.9
2020-10-13 03:00		21.4	21.9	57.5	13.1
2020-10-13 03:30		19.7	22.1	55.6	12.8
2020-10-13 04:00		19.1	21.3	58.1	12.7
2020-10-13 04:30		20.6	22.5	54.4	12.8
2020-10-13 05:00		19.2	21.9	55.7	12.6
2020-10-13 05:30		21.3	22.1	56.1	12.9
2020-10-13 06:00		19.2	21.9	57.6	13.2
2020-10-13 06:30		20.9	22.5	92.9	21.3
2020-10-13 07:00		20.5	21.9	94.5	21.0
2020-10-13 07:30		20.3	21.7	96.0	21.0
2020-10-13 08:00		20.2	21.6	96.7	21.1
2020-10-13 08:30		19.6	21.7	97.2	21.2
2020-10-13 09:00		20.1	21.7	97.9	21.4
2020-10-13 09:30		19.6	21.5	97.7	21.1
2020-10-13 10:00		20.4	21.2	97.9	20.9
2020-10-13 10:30		20.4	21.7	98.1	21.4
2020-10-13 11:00		19.8	21.9	98.4	21.6
2020-10-13 11:30		18.1	20.8	96.4	20.2
2020-10-13 12:00		20.3	21.9	99.0	21.7
2020-10-13 12:30		20.6	21.7	87.5	19.5
2020-10-13 13:00		20.3	22.1	71.2	16.6
2020-10-13 13:30		20.2	22.7	54.2	13.0
2020-10-13 14:00		20.5	23.2	45.4	10.7
2020-10-13 14:30		21.7	23.2	60.2	15.1
2020-10-13 15:00		21.9	23.5	52.4	13.2
2020-10-13 15:30		21.6	23.7	53.6	13.7
2020-10-13 16:00		22.2	24.1	50.8	13.3
2020-10-13 16:30		22.2	23.9	50.3	12.9
2020-10-13 17:00		21.7	24.1	47.0	12.1
2020-10-13 17:30		22.7	24.9	49.5	13.6
2020-10-13 18:00		22.0	25.0	49.0	13.5
2020-10-13 18:30		22.3	24.9	51.9	14.3
2020-10-13 19:00		22.0	24.9	52.4	14.5
2020-10-13 19:30		21.7	24.7	54.6	14.9
2020-10-13 20:00		21.5	24.4	56.6	15.2
2020-10-13 20:30		21.1	24.1	57.0	15.0
2020-10-13 21:00		20.9	23.8	58.2	15.1
2020-10-13 21:30		20.7	23.7	58.0	14.9
2020-10-13 22:00		20.4	23.6	57.5	14.7
2020-10-13 22:30		19.7	23.2	56.4	14.0
2020-10-13 23:00		21.2	22.5	53.3	12.5
2020-10-13 23:30		19.4	22.2	52.8	12.1
2020-10-14 00:00		21.3	21.9	54.1	12.2
2020-10-14 00:30		19.7	22.2	53.0	12.2
2020-10-14 01:00		20.8	21.4	55.9	12.2
2020-10-14 01:30		19.9	22.3	51.1	11.7
2020-10-14 02:00		20.6	21.7	53.3	11.8
2020-10-14 02:30		19.0	21.6	51.4	11.1
2020-10-14 03:00		20.6	22.2	50.1	11.3
2020-10-14 03:30		18.6	21.3	51.6	10.9
2020-10-14 04:00		20.0	22.1	49.0	10.9
2020-10-14 04:30		20.6	21.7	51.1	11.1
2020-10-14 05:00		19.3	21.7	51.6	11.3
2020-10-14 05:30		20.6	21.9	50.5	11.2
2020-10-14 06:00		20.1	21.4	51.6	11.0
2020-10-14 06:30		20.1	21.7	92.2	20.4
2020-10-14 07:00		19.5	21.5	93.9	20.5
2020-10-14 07:30		19.8	21.4	95.0	20.6
2020-10-14 08:00		19.7	21.4	95.6	20.7
2020-10-14 08:30		20.7	21.7	96.6	21.1
2020-10-14 09:00		20.7	21.7	97.1	21.2
2020-10-14 09:30		21.7	22.7	98.4	22.4
2020-10-14 10:00		21.6	23.8	98.9	23.6
2020-10-14 10:30		21.2	23.1	97.4	22.7
2020-10-14 11:00		21.1	22.7	95.1	21.9
2020-10-14 11:30		20.3	22.8	79.4	19.0
2020-10-14 12:00		19.2	21.7	49.4	10.6
2020-10-14 12:30		19.9	22.5	48.4	11.1
2020-10-14 13:00		20.0	24.4	56.1	15.1
2020-10-14 13:30		21.5	24.4	60.4	16.2
2020-10-14 14:00		21.1	24.6	51.0	13.8
2020-10-14 14:30		21.6	24.2	38.1	9.0
2020-10-14 15:00		21.4	23.8	36.7	8.1
2020-10-14 15:30		21.0	23.5	36.3	7.7
2020-10-14 16:00		21.1	23.5	35.6	7.4
2020-10-14 16:30		21.5	23.8	36.1	7.9
2020-10-14 17:00		22.8	24.9	37.8	9.5
2020-10-14 17:30		22.9	25.4	39.5	10.6
2020-10-14 18:00		22.4	25.4	40.2	10.9
2020-10-14 18:30		22.5	25.2	49.3	13.8
2020-10-14 19:00		22.8	25.0	50.4	14.0
2020-10-14 19:30		22.5	25.0	54.9	15.3
2020-10-14 20:00		22.3	24.8	55.7	15.3
2020-10-14 20:30		22.1	24.6	57.1	15.5
2020-10-14 21:00		21.8	24.4	56.4	15.2
2020-10-14 21:30		21.7	24.3	57.7	15.4
2020-10-14 22:00		21.5	24.0	59.2	15.5
2020-10-14 22:30		20.7	23.7	57.7	14.9
2020-10-14 23:00		19.5	22.2	60.0	14.1
2020-10-14 23:30		21.2	23.0	56.6	13.9
2020-10-15 00:00		19.4	21.9	59.7	13.7
2020-10-15 00:30		21.3	22.2	58.9	13.8
2020-10-15 01:00		19.3	21.7	60.9	13.8
2020-10-15 01:30		21.7	22.3	58.6	13.8
2020-10-15 02:00		19.5	21.9	58.4	13.4
2020-10-15 02:30		21.9	22.1	58.1	13.5
2020-10-15 03:00		19.6	22.0	56.7	13.0
2020-10-15 03:30		20.9	21.7	58.0	13.1
2020-10-15 04:00		18.9	21.3	58.7	12.9
2020-10-15 04:30		20.2	21.9	56.2	12.8
2020-10-15 05:00		21.4	21.7	57.6	13.0
2020-10-15 05:30		19.4	21.9	55.5	12.6
2020-10-15 06:00		21.4	21.9	55.5	12.6
2020-10-15 06:30		20.8	22.3	92.2	21.0
2020-10-15 07:00		20.1	21.9	94.1	20.9
2020-10-15 07:30		19.7	21.4	95.0	20.6
2020-10-15 08:00		20.2	21.5	95.9	20.8
2020-10-15 08:30		20.1	21.6	96.5	21.0
2020-10-15 09:00		19.9	21.3	96.9	20.8
2020-10-15 09:30		20.8	22.0	98.0	21.7
2020-10-15 10:00		17.3	19.6	92.2	18.3
2020-10-15 10:30		15.7	17.4	76.1	13.1
2020-10-15 11:00		20.7	20.9	95.4	20.1
2020-10-15 11:30		20.1	22.8	79.2	19.0
2020-10-15 12:00		20.2	23.6	64.3	16.5
2020-10-15 12:30		20.5	24.1	50.1	13.1
2020-10-15 13:00		19.7	23.3	47.1	11.4
2020-10-15 13:30		20.0	23.6	40.2	9.3
2020-10-15 14:00		19.5	24.4	53.6	14.4
2020-10-15 14:30		21.5	24.9	51.8	14.3
2020-10-15 15:00		20.8	24.6	41.9	10.8
2020-10-15 15:30		21.2	24.0	41.3	10.0
2020-10-15 16:00		22.0	24.2	39.3	9.5
2020-10-15 16:30		21.3	23.9	38.1	8.8
2020-10-15 17:00		22.3	24.7	38.9	9.8
2020-10-15 17:30		22.0	25.2	38.8	10.2
2020-10-15 18:00		23.0	25.4	40.9	11.2
2020-10-15 18:30		22.4	25.1	45.9	12.6
2020-10-15 19:00		22.0	24.8	50.6	13.9
2020-10-15 19:30		22.8	24.7	50.1	13.6
2020-10-15 20:00		22.7	25.0	53.3	14.8
2020-10-15 20:30		22.4	25.0	54.9	15.3
2020-10-15 21:00		22.1	24.7	56.2	15.4
2020-10-15 21:30		21.8	24.4	56.5	15.2
2020-10-15 22:00		21.7	24.3	57.7	15.4
2020-10-15 22:30		20.8	23.9	57.9	15.1
2020-10-15 23:00		19.3	22.5	56.9	13.5
2020-10-15 23:30		21.6	22.8	55.9	13.5
2020-10-16 00:00		19.7	22.2	56.0	13.0
2020-10-16 00:30		21.7	21.7	59.6	13.5
2020-10-16 01:00		20.4	22.4	56.1	13.2
2020-10-16 01:30		19.0	21.5	58.4	13.0
2020-10-16 02:00		20.6	22.2	56.6	13.2
2020-10-16 02:30		19.0	21.4	59.2	13.1
2020-10-16 03:00		21.2	22.5	56.4	13.4
2020-10-16 03:30		19.2	21.7	57.5	12.9
2020-10-16 04:00		20.5	22.0	56.5	13.0
2020-10-16 04:30		19.1	21.3	59.4	13.1
2020-10-16 05:00		20.6	22.4	56.0	13.2
2020-10-16 05:30		18.9	21.4	58.0	12.8
2020-10-16 06:00		20.4	22.1	55.4	12.7
2020-10-16 06:30		21.1	22.5	92.4	21.2
2020-10-16 07:00		20.2	22.0	94.0	21.0
2020-10-16 07:30		20.1	21.7	95.4	20.9
2020-10-16 08:00		20.6	21.9	96.4	21.3
2020-10-16 08:30		20.1	21.9	96.7	21.4
2020-10-16 09:00		21.8	22.6	98.0	22.3
2020-10-16 09:30		22.2	23.2	98.0	22.9
2020-10-16 10:00		22.7	23.9	98.4	23.6
2020-10-16 10:30		22.5	23.9	98.6	23.7
2020-10-16 11:00		22.2	23.3	98.2	23.0
2020-10-16 11:30		21.1	23.1	91.1	21.6
2020-10-16 12:00		20.9	22.3	73.7	17.4
2020-10-16 12:30		20.4	22.2	63.7	15.0
2020-10-16 13:00		21.4	24.2	66.1	17.5
2020-10-16 13:30		22.1	24.4	53.3	14.3
2020-10-16 14:00		21.9	23.9	65.3	17.0
2020-10-16 14:30		22.3	24.4	65.1	17.4
2020-10-16 15:00		22.2	24.4	58.5	15.7
2020-10-16 15:30		23.1	24.5	50.4	13.5
2020-10-16 16:00		23.1	24.6	48.0	12.9
2020-10-16 16:30		22.7	24.4	46.8	12.3
2020-10-16 17:00		22.4	24.3	46.5	12.1
2020-10-16 17:30		23.2	24.5	49.8	13.3
2020-10-16 18:00		23.7	24.9	51.3	14.2
2020-10-16 18:30		22.7	25.2	51.3	14.4
2020-10-16 19:00		23.5	25.5	52.9	15.2
2020-10-16 19:30		23.4	25.6	56.2	16.2
2020-10-16 20:00		23.3	25.5	58.5	16.8
2020-10-16 20:30		23.4	25.6	62.0	17.8
2020-10-16 21:00		23.4	25.6	63.2	18.1
2020-10-16 21:30		23.2	25.5	64.2	18.2
2020-10-16 22:00		23.1	25.4	64.8	18.3
2020-10-16 22:30		22.2	25.0	65.7	18.1
2020-10-16 23:00		20.9	23.6	66.8	17.1
2020-10-16 23:30		20.1	22.4	72.3	17.2
2020-10-17 00:00		19.6	21.6	77.4	17.5
2020-10-17 00:30		19.0	20.9	80.0	17.3
2020-10-17 01:00		21.2	21.1	81.8	17.9
2020-10-17 01:30		21.2	22.2	75.4	17.6
2020-10-17 02:00		20.4	22.1	74.3	17.3
2020-10-17 02:30		19.8	21.7	75.6	17.2
2020-10-17 03:00		19.7	21.3	76.8	17.1
2020-10-17 03:30		19.5	21.2	78.2	17.2
2020-10-17 04:00		21.2	21.7	77.9	17.7
2020-10-17 04:30		20.2	21.9	74.4	17.1
2020-10-17 05:00		19.6	21.4	74.8	16.7
2020-10-17 05:30		21.7	21.3	77.0	17.1
2020-10-17 06:00		21.1	22.6	69.6	16.8
2020-10-17 06:30		21.5	22.6	94.5	21.7
2020-10-17 07:00		19.7	22.1	95.0	21.3
2020-10-17 07:30		20.3	21.7	96.0	21.0
2020-10-17 08:00		20.5	21.7	97.0	21.2
2020-10-17 08:30		20.7	22.1	97.9	21.8
2020-10-17 09:00		21.3	22.4	98.5	22.2
2020-10-17 09:30		21.7	23.0	98.7	22.8
2020-10-17 10:00		22.9	24.3	99.4	24.2
2020-10-17 10:30		23.4	24.4	99.5	24.3
2020-10-17 11:00		21.9	23.8	99.0	23.6
2020-10-17 11:30		21.8	23.0	97.2	22.5
2020-10-17 12:00		22.0	22.2	93.6	21.1
2020-10-17 12:30		21.8	21.6	85.3	19.0
2020-10-17 13:00		21.4	22.3	72.8	17.2
2020-10-17 13:30		21.8	23.2	66.2	16.5
2020-10-17 14:00		21.7	23.8	49.8	12.7
2020-10-17 14:30		22.5	24.0	48.4	12.4
2020-10-17 15:00		22.4	24.3	46.4	12.1
2020-10-17 15:30		22.9	24.2	52.3	13.8
2020-10-17 16:00		22.4	24.0	58.4	15.3
2020-10-17 16:30		22.9	23.9	62.5	16.3
2020-10-17 17:00		23.0	24.9	54.5	15.1
2020-10-17 17:30		23.0	25.2	56.6	16.0
2020-10-17 18:00		23.0	25.3	57.7	16.4
2020-10-17 18:30		22.5	25.3	56.0	15.9
2020-10-17 19:00		22.8	25.2	60.7	17.1
2020-10-17 19:30		22.9	25.2	62.6	17.6
2020-10-17 20:00		22.8	25.2	63.1	17.7
2020-10-17 20:30		22.7	25.2	63.3	17.7
2020-10-17 21:00		22.5	25.0	63.2	17.5
2020-10-17 21:30		23.3	25.2	61.7	17.3
2020-10-17 22:00		23.3	25.6	61.1	17.5
2020-10-17 22:30		22.6	25.5	62.2	17.7
2020-10-17 23:00		21.4	24.2	67.0	17.7
2020-10-17 23:30		20.5	22.9	67.5	16.6
2020-10-18 00:00		20.0	22.1	68.7	16.1
2020-10-18 00:30		19.7	21.5	70.1	15.8
2020-10-18 01:00		20.6	21.7	69.8	15.9
2020-10-18 01:30		20.1	21.9	67.2	15.5
2020-10-18 02:00		19.7	21.6	68.0	15.4
2020-10-18 02:30		19.3	21.2	69.9	15.5
2020-10-18 03:00		23.1	21.9	70.3	16.2
2020-10-18 03:30		21.4	23.0	63.0	15.6
2020-10-18 04:00		20.0	22.3	63.5	15.0
2020-10-18 04:30		19.4	21.5	66.1	14.9
2020-10-18 05:00		19.4	21.0	69.0	15.1
2020-10-18 05:30		21.5	22.6	64.0	15.4
2020-10-18 06:00		19.7	22.0	63.7	14.8
2020-10-18 06:30		21.3	22.6	93.7	21.5
2020-10-18 07:00		20.7	21.9	94.6	21.0
2020-10-18 07:30		20.2	21.9	95.7	21.2
2020-10-18 08:00		21.0	21.7	96.6	21.1
2020-10-18 08:30		20.9	22.4	97.6	22.0
2020-10-18 09:00		20.8	22.3	97.7	21.9
2020-10-18 09:30		20.9	22.5	98.1	22.2
2020-10-18 10:00		22.2	23.8	99.1	23.6
2020-10-18 10:30		20.4	23.9	99.4	23.8
2020-10-18 11:00		21.2	23.4	97.9	23.0
2020-10-18 11:30		21.2	22.3	91.8	20.9
2020-10-18 12:00		20.4	21.7	74.3	16.9
2020-10-18 12:30		22.0	23.0	83.2	20.0
2020-10-18 13:00		21.5	23.3	71.6	17.9
2020-10-18 13:30		21.8	23.9	62.2	16.2
2020-10-18 14:00		22.5	23.9	58.5	15.3
2020-10-18 14:30		22.3	24.0	65.0	17.0
2020-10-18 15:00		21.7	24.2	63.2	16.8
2020-10-18 15:30		22.7	24.7	63.2	17.2
2020-10-18 16:00		22.5	24.5	56.0	15.1
2020-10-18 16:30		22.5	24.3	52.6	14.0
2020-10-18 17:00		22.7	24.3	52.9	14.1
2020-10-18 17:30		23.0	24.6	53.4	14.5
2020-10-18 18:00		23.0	25.1	55.5	15.6
2020-10-18 18:30		22.7	25.2	56.5	15.9
2020-10-18 19:00		23.2	25.3	64.1	18.0
2020-10-18 19:30		23.2	25.4	65.6	18.5
2020-10-18 20:00		23.2	25.4	67.0	18.8
2020-10-18 20:30		23.0	25.2	67.3	18.7
2020-10-18 21:00		22.9	25.1	68.1	18.8
2020-10-18 21:30		22.7	25.0	69.2	19.0
2020-10-18 22:00		22.5	24.9	69.9	19.0
2020-10-18 22:30		21.7	24.4	69.6	18.5
2020-10-18 23:00		21.0	23.3	72.8	18.1
2020-10-18 23:30		20.3	22.4	73.2	17.4
2020-10-19 00:00		19.7	21.7	76.9	17.5
2020-10-19 00:30		20.6	21.3	78.8	17.5
2020-10-19 01:00		21.6	22.7	71.7	17.3
2020-10-19 01:30		20.3	22.4	70.6	16.8
2020-10-19 02:00		19.7	21.7	72.2	16.5
2020-10-19 02:30		21.9	21.4	74.7	16.7
2020-10-19 03:00		21.4	22.8	67.5	16.5
2020-10-19 03:30		20.2	22.3	67.2	15.9
2020-10-19 04:00		19.6	21.6	69.0	15.7
2020-10-19 04:30		22.1	21.5	72.6	16.4
2020-10-19 05:00		21.4	22.8	65.6	16.0
2020-10-19 05:30		20.0	22.2	65.6	15.4
2020-10-19 06:00		19.5	21.4	68.1	15.3
2020-10-19 06:30		21.6	22.7	94.9	21.8
2020-10-19 07:00		20.0	22.3	95.1	21.5
2020-10-19 07:30		20.8	22.5	96.7	21.9
2020-10-19 08:00		20.4	21.9	96.9	21.4
2020-10-19 08:30		20.1	21.9	97.5	21.5
2020-10-19 09:00		21.7	21.9	98.0	21.6
2020-10-19 09:30		22.1	23.1	98.6	22.9
2020-10-19 10:00		23.3	23.9	99.1	23.7
2020-10-19 10:30		21.5	23.9	99.0	23.7
2020-10-19 11:00		21.7	23.2	97.7	22.8
2020-10-19 11:30		22.2	22.7	97.6	22.3
2020-10-19 12:00		21.7	22.6	91.0	21.1
2020-10-19 12:30		20.3	22.1	70.8	16.5
2020-10-19 13:00		20.5	24.0	66.3	17.3
2020-10-19 13:30		20.4	24.4	62.8	16.8
2020-10-19 14:00		21.7	24.3	50.9	13.5
2020-10-19 14:30		21.7	24.2	42.5	10.6
2020-10-19 15:00		21.6	23.8	40.8	9.7
2020-10-19 15:30		22.4	23.7	45.9	11.4
2020-10-19 16:00		21.7	23.8	44.3	10.9
2020-10-19 16:30		23.3	24.2	50.6	13.3
2020-10-19 17:00		22.2	24.5	47.1	12.5
2020-10-19 17:30		23.3	25.1	51.5	14.4
2020-10-19 18:00		23.4	25.5	53.6	15.4
2020-10-19 18:30		22.9	25.3	54.5	15.5
2020-10-19 19:00		22.8	25.2	59.0	16.6
2020-10-19 19:30		22.5	25.0	62.1	17.2
2020-10-19 20:00		22.3	24.7	62.7	17.1
2020-10-19 20:30		22.1	24.4	63.6	17.0
2020-10-19 21:00		22.6	24.6	61.4	16.7
2020-10-19 21:30		22.6	24.9	61.5	17.0
2020-10-19 22:00		22.5	24.9	59.9	16.6
2020-10-19 22:30		21.7	24.5	62.3	16.8
2020-10-19 23:00		20.4	23.2	65.7	16.4
2020-10-19 23:30		19.6	21.9	66.8	15.4
2020-10-20 00:00		22.6	22.7	65.1	15.8
2020-10-20 00:30		20.6	22.7	61.8	15.0
2020-10-20 01:00		19.7	21.9	64.2	14.8
2020-10-20 01:30		22.4	21.9	66.8	15.4
2020-10-20 02:00		20.5	22.6	61.6	14.8
2020-10-20 02:30		19.4	21.7	63.6	14.5
2020-10-20 03:00		22.5	22.2	64.5	15.2
2020-10-20 03:30		20.3	22.5	60.6	14.5
2020-10-20 04:00		19.3	21.6	63.2	14.3
2020-10-20 04:30		22.4	22.5	62.0	14.9
2020-10-20 05:00		20.0	22.4	59.5	14.1
2020-10-20 05:30		20.1	21.3	63.5	14.1
2020-10-20 06:00		20.9	22.6	58.9	14.2
2020-10-20 06:30		21.4	22.6	92.9	21.4
2020-10-20 07:00		20.5	22.0	94.4	21.1
2020-10-20 07:30		20.2	21.7	95.2	20.9
2020-10-20 08:00		20.0	21.6	96.2	21.0
2020-10-20 08:30		21.2	22.3	97.4	21.9
2020-10-20 09:00		20.5	22.2	97.4	21.8
2020-10-20 09:30		20.6	22.3	97.6	21.9
2020-10-20 10:00		20.9	22.5	97.9	22.2
2020-10-20 10:30		22.1	23.2	98.6	23.0
2020-10-20 11:00		22.9	23.8	98.7	23.6
2020-10-20 11:30		23.4	23.9	98.6	23.7
2020-10-20 12:00		21.1	23.8	98.7	23.6
2020-10-20 12:30		21.4	23.1	95.9	22.4
2020-10-20 13:00		20.7	23.3	94.4	22.3
2020-10-20 13:30		20.7	23.1	78.8	19.2
2020-10-20 14:00		22.2	23.3	79.5	19.6
2020-10-20 14:30		21.2	23.8	56.2	14.5
2020-10-20 15:00		20.7	23.5	44.3	10.6
2020-10-20 15:30		20.6	23.9	44.7	11.1
2020-10-20 16:00		21.2	23.7	43.8	10.7
2020-10-20 16:30		22.2	24.2	44.4	11.3
2020-10-20 17:00		21.4	24.8	43.3	11.5
2020-10-20 17:30		22.8	25.2	45.3	12.5
2020-10-20 18:00		22.9	25.0	48.1	13.3
2020-10-20 18:30		22.7	25.0	51.1	14.2
2020-10-20 19:00		22.4	24.9	52.8	14.6
2020-10-20 19:30		22.9	25.0	53.9	15.0
2020-10-20 20:00		23.0	25.2	54.6	15.4
2020-10-20 20:30		23.0	25.3	55.5	15.7
2020-10-20 21:00		23.0	25.4	55.1	15.7
2020-10-20 21:30		22.9	25.5	55.0	15.8
2020-10-20 22:00		22.7	25.3	56.5	16.0
2020-10-20 22:30		22.0	25.0	59.5	16.6
2020-10-20 23:00		20.4	23.4	61.2	15.5
2020-10-20 23:30		19.7	21.9	63.8	14.7
2020-10-21 00:00		21.0	22.6	59.2	14.2
2020-10-21 00:30		19.4	21.7	61.8	14.0
2020-10-21 01:00		21.7	22.1	59.5	13.8
2020-10-21 01:30		19.3	21.7	58.4	13.2
2020-10-21 02:00		21.9	22.4	56.7	13.4
2020-10-21 02:30		19.4	21.9	56.1	12.8
2020-10-21 03:00		21.7	22.2	55.2	12.8
2020-10-21 03:30		19.2	21.7	54.9	12.2
2020-10-21 04:00		21.1	22.1	53.6	12.2
2020-10-21 04:30		18.7	21.4	55.7	12.2
2020-10-21 05:00		20.6	22.2	51.6	11.8
2020-10-21 05:30		21.0	21.7	52.9	11.7
2020-10-21 06:00		19.3	21.7	51.6	11.3
2020-10-21 06:30		20.5	21.9	92.4	20.6
2020-10-21 07:00		20.1	21.9	94.6	21.0
2020-10-21 07:30		19.9	21.5	95.4	20.7
